"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010110","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2008","","","","1370075"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010110","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2009","","","","34000"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010110","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2010","","","","1726273"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010121","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2014","","","","347308"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010121","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2015","","","","514500"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010129","Other","A","Annual","A","Annual","USD","US$","2012","","","","2541105"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010129","Other","A","Annual","A","Annual","USD","US$","2016","","","","5000"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010129","Other","A","Annual","A","Annual","USD","US$","2017","","","","2000"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010129","Other","A","Annual","A","Annual","USD","US$","2013","","","","919114"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010129","Other","A","Annual","A","Annual","USD","US$","2015","","","","1803307"
