topic_index,pop_idx,tokens
56,0.015605381606192056,缅甸 外资 实际 昂山 投资 外商投资 使用 发展 高技术 同比 中国 改革
57,0.047948354455223115,出席 总统 仪式 举行 华盛顿 特朗普 活动 白宫 参加 就职 晚宴 周年
58,0.06623273520373844,蒂勒 问题 进行 没有 意见 留言 答复 尊敬 反映 村民 回复 工作
59,0.021887246878637516,俱乐部 书店 今年 旅行团 书籍 新华 书展 排队 活动 德勤 首发 推介
60,0.0002607872757402572,鲁宾 尼加拉瓜 运河 巴拿马运河 驾照 万通 续签 梭罗 政府 莱利 巴拿马 修建
61,0.006913526110136633,塔利班 阿富汗 谈判 和平 和谈 撤军 撤出 协议 政府 达成 表示 结束
62,0.0008907954733590143,群岛 水面 浮出 邓普西 京都 房峰辉 议定书 输油管 国际法院 领地 梯队 余波
63,0.005456238961013618,建筑 大楼 纽约 豪宅 位于 大道 万美元 兴建 曼哈顿 这座 一座 大厦
64,0.07405551461730661,内地 中国 经济 增长 今年 认为 下半年 相信 明年 香港 该行 预计
65,0.002914502179953893,峰会 会议 默克尔 举行 特朗普 领导人 领袖 议题 各国 总统 召开 贸易
66,0.006255253133083766,哈姆 之子 空调 格拉 莫里森 卜戴伦 摇滚乐 滚石 民谣 侯佳欣 文学奖 环球网
67,0.022588969926750604,节目 主持人 播出 联邦快递 电视台 请愿 签名 美国广播公司 言论 道歉 勒姆 电视节目
68,0.02866100840848325,市场经济 地位 中国 承认 梅铎 世界大战 替代国 第三次 赵美心 小国 葛兰素 大亨
69,0.0036194077951325573,外星人 不明飞行物 海豚 外星 飞碟 抗药性 拉开 目击 开车 出现 几何 序幕
70,0.015657073633616476,金价 美元 阻力 突破 黄金 支持 水平 关口 新西兰 避险 跌破 高位
71,0.003455467122920074,军售 台湾 官员 美方 美国国务院 表示 出售 对台 法案 国务院 华府 这项
72,0.16179208026450487,中国 江泽民 北京 东盟 访华 问题 克林顿 国家 访问 领导人 尼克松 总统
73,0.02408137563511433,选举 民主党 共和党 中期 选民 投票 选票 候选人 总统 支持 可能 州长
74,0.012809149549139231,美元 黄金 金价 市场 期货 财经 香港 盘中 数据 本周 现货 盎司
75,0.01528541227927441,垃圾 回收 分类 塑料 处理 塑胶 国家 克莱因 废物 废料 洋垃圾 循环
76,0.006446657577694711,监管 金融 货币 机构 交易 金融机构 虚拟 进行 加强 金融业 加密 跨境
77,0.015558153291277353,特朗普 米勒 科恩 通俄门 调查 团队 检察官 律师 竞选 科米 特别 穆勒
78,0.030741635614070128,阿姆斯特朗 全球 废纸 退出 可能 造成 经济 没有 政府 表示 毒药 后劲
79,0.017316449024346876,拉登 恐怖分子 恐怖袭击 恐怖主义 恐怖 袭击 本报讯 行动 可能 十一日 九月 华盛顿
80,0.0529691997025432,投行 铁路 高铁 加入 基础设施 建设 世界银行 项目 国际 国家 中国 亚洲
81,0.18183829344914368,中国 国家 问题 没有 世界 不是 可能 这种 认为 利益 战略 现在
82,0.004660965427100654,福特 卡瓦 大法官 fb 提名 最高法院 指控 参议院 表示 罗伯茨 听证会 联邦最高法院
83,0.02123128179577892,赵小兰 德军 纪念碑 郗小星 吉利 陈霞芬 引进 驼峰 没有 年份 火烧 中国
84,0.0740989776465226,人权 中国 布殊 状况 组织 国家 问题 表示 国际 民主 自由 批评
85,0.007746316802853372,科尔 观点 思考 持份者 国宝 文汇报 多角度 永利 撮要 节自 香港 晨报
86,0.011326534625797144,上市 资本 融资 新股 市场 集资 挂牌 阿里巴巴 投资者 企业 汤普森 投资
87,0.003631329847934828,澳大利亚 印尼 雅加达 美澳 马尔代夫 表示 卡恩 堪培拉 国家 炸弹 维多 中澳
88,0.012482353503170533,美元 水平 平均线 走势 阻力 数据 支持 美国 欧元 央行 美联储 低位
89,0.0637521339563494,工厂 中国 玻璃 迟浩田 蓝皮书 曹德旺 研发 福耀 神州 张军 统计 王冠
90,0.007567529476973893,有线 沙地 表示 盈动 网股 最后 持货 去年 蜂拥 国际 运动鞋 香港
91,0.02861914408037748,人数 失业 预测 公布 万人 销售 数据 申领 预期 新屋 零售 增加
92,0.003703090292649058,合约 工会 激光 西北 万达 传奇 资方 机师 表示 罢工 人工 保险
93,0.0019079320864966948,列明 苏州 贝达 药业 南航 屁股 汉弗莱 伊势 入驻 停止使用 新纪元 水上飞机
94,0.032191267739610285,医疗 城市 医保 医改 保险 医疗保险 保险公司 都市 服务 医疗保健 补助 大城市
95,0.009778687262934837,海军 海上 军舰 海域 舰队 美军 驱逐舰 舰艇 进行 太平洋 潜艇 一艘
96,0.05074497924056898,产品 电子 中国 进口 反倾销 商务部 调查 反补贴 美国商务部 产业 双反 倾销
97,0.003334175832092137,歌剧 音乐学院 歌剧院 巴德 歌唱家 格里芬 水晶 西尔 大都会 斯潘塞 美女 林肯中心
98,0.011602925893439643,成员 波士顿 港口 爆炸案 集装箱 马拉松 机构 世贸组织 遴选 布莱克 薄熙来 体制
99,0.051698708241358506,发生 死亡 受伤 爆炸 造成 事件 当地 时间 附近 至少 现场 严重
100,0.05722334547234373,战略 亚太 亚太地区 地区 中国 太平洋 国家 平衡 亚洲 印太 合作 安全
101,0.0010294733782816555,美国之音 广播 加德 国歌 达菲 姚明 之音 诺伊 万英镑 表示 众志 杜明
102,0.022912212297916557,迪士尼 佛州 佛罗里达州 迈阿密 乐园 佛罗里达 奥兰多 世界 园区 环球 过山车 哈维
103,0.017611339466074457,销量 车型 万辆 新能源 宝马 电动车 汽车 新车 品牌 进口车 车展 奥迪
104,0.03033096340777001,阿里 老鼠 德拉 李肇星 董卿 中国 卡明斯 希望 鲁迅 没有 成为 当时
105,0.03940852549938348,日本 防卫 美日 钓鱼岛 日美 安保 自卫队 东京 日本政府 表示 合作 日方
106,0.0003991675740562105,专机 空军一号 乘坐 保罗 游艇 总统 搭乘 沃夫维兹 随行 修复 出海 改装
107,0.0004979588759979614,翻版 吴弘达 德银 维奇 光碟 画像 盗版 录影带 俞宗怡 表示 马格 丹利
108,0.028491528393697944,新加坡 亚洲 李显龙 汉森 香格里拉 海峡 货船 时报 圣淘沙 裴俊浩 嘉佩乐 弗朗西斯
109,0.03264575340078257,经济 市场 中国 政策 影响 风险 增长 资本 改革 金融 稳定 可能
110,0.009642972233940764,纽约 警察 纽约市 市长 执法 布鲁克林 警方 使用 白思豪 巴尔的摩 警队 警员
111,0.08021720321742466,汇率 操纵 中国 列为 美国财政部 报告 财政部 标签 货币 认定 表示 标准
112,0.004821130186120739,氧气 妇人 表示 伤口 验尸 终年 心脏病发 缺氧 月台 国际 塞夫 发现
113,0.04422370264791671,电影 导演 荷里活 奥斯卡 女星 演员 成龙 饰演 主演 同性恋 影后 男星
114,0.006893210617852479,公主 邮轮 计画 东协 黑豹党 巴布亚 独立 问题 朱总理 暗淡 当地 医护
115,0.07293774167746861,中国 胜利 人民 战场 苏联 抗战 军队 抗日战争 战争 和平 世界 周年
116,0.015783441689484087,斯诺 庇护 表示 避难 俄罗斯 离开 申请 厄瓜多尔 提供 雇员 政治 引渡
117,0.000919951456612173,凯文 戏院 考克斯 德普 伟哥 巴拉 组图 戴安娜 母亲 邦德 孟买 噩耗
118,0.04575541319619935,美国 美元 经济 货币 中国 全球 升值 国家 国际 贬值 人民币 汇率
119,0.04618743542268952,贸易战 贸易 影响 经济 全球 中国 美国 关税 升级 市场 可能 中美
120,0.010900171322060994,太空 无人机 卫星 击落 全球 任务 一架 空军 计划 美军 飞行 空间站
121,0.017219982784827566,奥巴马 总统 白宫 政府 表示 任期 认为 上任 希望 任内 发表 承诺
122,0.022761074483723612,窃取 网络 网络安全 商业 窃密 起诉 机密 中国 军官 行为 美方 企业
123,0.01825242327079918,深圳 太阳能 光伏 王岐山 发电 内衣 产业 中国 组件 深圳市 电池板 企业
124,0.03321482574148196,欧洲 德国 北约 国家 成员国 盟友 欧盟 法国 盟国 英国 安全 科索沃
125,0.012556110598125218,关闭 性别 也门 表示 使领馆 驻外 变性人 基地 人士 可能 组织 扎瓦
126,0.002746691373049028,试验 改良 沙士 卫生署 综合症 有人 化工厂 鲁炜 化学 药剂 安全 化学品
127,0.0008285775979022072,莱斯 欧后 大桥 内蒙古 草原 白金汉宫 巴布亚新几内亚 披头 特曼 响亮 凯里 朱民
128,0.013577281483871498,欧盟 关税 贸易 汽车 进口 钢铁 特朗普 美国 欧洲 德国 美欧 表示
129,0.0009082999600020887,政府 特朗普 停摆 拨款 关门 联邦政府 民主党 边境 国会 围墙 白宫 紧急状态
130,0.060770098100032956,系统 部署 防御 萨德 导弹 反导 安全 韩国 威胁 计划 表示 反对
131,0.04183977915287663,大熊猫 熊猫 口径 斯坦 中国 动物园 冷冻 地道 洗手间 变形金刚 氢碘酸 惊心动魄
132,0.014430836339297695,减息 联储局 经济 鲍威尔 美国 利率 预期 市场 一厘 四分 机会 联邦
133,0.021627785852880846,公司 气球 范德比尔 艺人 没有 公仔 兰姆 德伍德 橡树 一课 进行 娱乐
134,0.1240908637503826,二代 兑换 今晚 女友 上位 尾季 发稿 神器 四度 守势 美艳 日元
135,0.006277607641747395,片段 偷拍 沉没 原住民 菲利普斯 镜头 自由 普洛斯 对不起 佩奇 女神像 纳尔逊
136,0.002886830367725381,拜登 弹劾 总统 特朗普 民主党 乌克兰 调查 沃伦 连斯基 通话 众议院 要求
137,0.02145768517633644,二人 离婚 婚姻 结婚 两人 分手 莲娜 公开 前妻 女友 同性 子女
138,0.006317667975536257,伊拉克 伊斯兰 组织 极端 巴格达 穆斯林 基地 分子 萨达姆 恐怖组织 国家 发动
139,0.08151206095995035,南海 中国 主权 问题 地区 岛礁 国家 航行 自由 中方 争议 安全
140,0.026488537981847155,黑客 电脑 入侵 网络 攻击 资料 软件 系统 网站 公司 资讯 专家
141,0.006554557105236148,公司 日全食 反斗 奇兵 日食 变形 李晨 加班 千里 观看 印刷 严防
142,0.06236132583073607,英雄 超级 联盟 队长 漫画 基斯 复仇者 漫威 蜘蛛侠 蝙蝠侠 电影 角色
143,0.0002665513305524048,路易斯安那州 保证 借力 皮尔森 总统 巴希尔 作战室 磁铁 进出口银行 度假村 一万名 多拉
144,0.03329871430206638,韩国 联合 军演 韩美 美韩 韩美军 首尔 朴槿惠 举行 韩方 韩联社 进行
145,0.014353944454896548,圣诞 圣诞节 庆祝 新年 平安夜 礼物 圣诞树 工作 儿子 活动 透露 圣诞礼物
146,0.01903527183028214,子弹 二号 银河 反向 维珍 自由市场 布兰森 对冲 转弯 数百亿美元 没有 旋转
147,0.011031720513808916,男孩 滑雪 科克 佩林 游泳 兄弟 滑雪场 奥里纳 父女 福斯特 拉米雷斯 黑手党
148,0.007873389493247144,银行 客户 瑞士 金融机构 户口 资金 存款 逃税 瑞银 银行业 该行 信用卡
149,0.02464653171504296,台湾 大陆 两岸 台海 台独 两岸关系 政策 表示 中国 李登辉 问题 陈水扁
150,0.028102950056862298,巴西 阿帕奇 纳罗 国家 博尔索 圣保罗 巴西政府 手册 卢拉 雷亚尔 政府 劳工
151,0.008832894933517067,索罗斯 摄影师 炒家 摄影 狙击 女婴 拍摄 云妮 蓝天 朱莉 一波又起 一波未平
152,0.03375334378681587,大学 大学生 社区 史丹福 密歇根 毕业 华盛顿大学 毕业生 南加州 留学生 新生 毕业典礼
153,0.04015788630449703,防空 识别区 东海 中国 划设 识别 飞行 进入 空域 领空 中方 设立
154,0.003976133036624992,adj 多点 文中 解作 名词 people 下列 英文 句子 混凝土 便是 year
155,0.017517673523862704,青少年 成都 心理 夏令营 境外 北大 四川 创投 心理健康 英寸 兰州 中国
156,0.01880752739185687,南非 杰克逊 曼德拉 哈尔 克斯 亚当斯 莱文 身份证 巴拉克 谢里夫 没有 家人
157,0.05023421362874229,前值 预测 美国 消费者 指数 年率 物价指数 初值 信心 支出 大学 终值
158,0.06136374057987105,黄金 金价 储备 黄金价格 国际 中国 需求 表示 可能 世界 实物 黄金市场
159,0.022550541413642405,信件 弗里 封信 度假 一封信 没有 收到 信中 葡萄园 私家 谢震廷 巴马
160,0.005095587812076491,毒品 执法 打击 海关 犯罪 芬太尼 管制 走私 非法 行动 部门 物品
161,0.021969297615751476,马丁 奥兰多 夜店 同性恋 迪克 姜文 天然 表示 夜总会 紫光 没有 交友
162,0.030927210554887875,评级 信贷 银行 美国 市场 机构 可能 格林斯潘 危机 表示 亚洲 穆迪
163,0.01935908322957654,中国 黑利 决议 布隆 禁制 决议案 大使 安理会 无用 铁矿石 限制 全面禁止
164,0.004545518461892031,法院 法官 法庭 裁决 律师 上诉 判决 法律 裁定 案件 最高法院 要求
165,0.0012320105760768227,邮轮 特里 四位 联名信 联名 退场 通航 孟菲斯 表示 呼吁 新策略 独立性
