year,month,Renmin_EPU,EPU
1975,4,52.9,
1975,5,0,
1975,6,0,
1975,7,0,
1975,8,0,
1975,9,0,
1975,10,0,
1975,11,0,
1975,12,54.2,
1976,1,0,
1976,2,0,
1976,3,0,
1976,4,0,
1976,5,0,
1976,6,0,
1976,7,0,
1976,8,0,
1976,9,63.7,
1976,10,0,
1976,11,0,
1976,12,0,
1977,1,0,
1977,2,0,
1977,3,0,
1977,4,0,
1977,5,0,
1977,6,0,
1977,7,0,
1977,8,0,
1977,9,0,
1977,10,0,
1977,11,160.4,
1977,12,0,
1978,1,198.3,
1978,2,122.3,
1978,3,0,
1978,4,0,
1978,5,96.3,
1978,6,0,
1978,7,91.8,
1978,8,142.9,
1978,9,0,
1978,10,0,
1978,11,80,
1978,12,0,
1979,1,0,
1979,2,64.6,
1979,3,27.2,
1979,4,53.8,
1979,5,52.9,
1979,6,87.1,
1979,7,0,
1979,8,53.6,
1979,9,0,
1979,10,269.7,
1979,11,270,
1979,12,143.6,
1980,1,103,
1980,2,17.8,
1980,3,0,
1980,4,0,
1980,5,109.5,
1980,6,32.9,
1980,7,80.2,
1980,8,127.1,
1980,9,32.4,
1980,10,0,
1980,11,236.5,
1980,12,88.3,
1981,1,0,
1981,2,0,
1981,3,78.3,
1981,4,111.7,
1981,5,64.2,
1981,6,0,
1981,7,16.5,
1981,8,41,
1981,9,121.9,
1981,10,43,
1981,11,42.6,
1981,12,90.5,
1982,1,62.4,
1982,2,45.6,
1982,3,29,
1982,4,108.3,
1982,5,123.6,
1982,6,47.9,
1982,7,27.2,
1982,8,102.5,
1982,9,131.9,
1982,10,70.9,
1982,11,75.7,
1982,12,51.2,
1983,1,29.6,
1983,2,28.8,
1983,3,114.7,
1983,4,41.7,
1983,5,41.6,
1983,6,53,
1983,7,109.4,
1983,8,37.4,
1983,9,50.2,
1983,10,13.6,
1983,11,92.5,
1983,12,54.5,
1984,1,62.6,
1984,2,44.5,
1984,3,15,
1984,4,103.8,
1984,5,28.7,
1984,6,27.3,
1984,7,37.6,
1984,8,21.4,
1984,9,59.7,
1984,10,56.9,
1984,11,12.9,
1984,12,33.4,
1985,1,116.5,
1985,2,24,
1985,3,88.7,
1985,4,138.9,
1985,5,35.3,
1985,6,74.8,
1985,7,35.3,
1985,8,50.3,
1985,9,14,
1985,10,50.7,
1985,11,25.4,
1985,12,61.3,
1986,1,98.8,
1986,2,92.3,
1986,3,99.5,
1986,4,181.7,
1986,5,50.5,
1986,6,112.6,
1986,7,110.2,
1986,8,151.5,
1986,9,142.9,
1986,10,26.7,
1986,11,72.7,
1986,12,206.9,
1987,1,110.7,
1987,2,119.7,
1987,3,76.7,
1987,4,62.7,
1987,5,70.4,
1987,6,109.8,
1987,7,51,
1987,8,137.4,
1987,9,155.6,
1987,10,112.2,
1987,11,119.5,
1987,12,122.2,
1988,1,153.6,
1988,2,272,
1988,3,57.9,
1988,4,81.3,
1988,5,138.3,
1988,6,137.5,
