Date,Open,High,Low,Close,Adj Close,Volume,Return
1979-12-31,107.839996,108.529999,107.260002,107.940002,107.940002,31530000,
1980-01-02,107.940002,108.43,105.290001,105.760002,105.760002,40610000,-0.020196405
1980-01-03,105.760002,106.080002,103.260002,105.220001,105.220001,50480000,-0.00510591
1980-01-04,105.220001,107.080002,105.089996,106.519997,106.519997,39130000,0.012355027
1980-01-07,106.519997,107.800003,105.800003,106.809998,106.809998,44500000,0.002722503
1980-01-08,106.809998,109.290001,106.290001,108.949997,108.949997,53390000,0.020035568
1980-01-09,108.949997,111.089996,108.410004,109.050003,109.050003,65260000,0.000917907
1980-01-10,109.050003,110.860001,108.470001,109.889999,109.889999,55980000,0.007702852
1980-01-11,109.889999,111.160004,108.889999,109.919998,109.919998,52890000,0.000272991
1980-01-14,109.919998,111.440002,109.339996,110.379997,110.379997,52930000,0.004184853
1980-01-15,110.379997,111.93,109.449997,111.139999,111.139999,52320000,0.006885324
1980-01-16,111.139999,112.900002,110.379997,111.050003,111.050003,67700000,-0.000809753
1980-01-17,111.050003,112.010002,109.809998,110.699997,110.699997,54170000,-0.003151787
1980-01-18,110.699997,111.739998,109.879997,111.07,111.07,47150000,0.003342394
1980-01-21,111.07,112.900002,110.660004,112.099998,112.099998,48040000,0.009273413
1980-01-22,112.099998,113.099998,110.919998,111.510002,111.510002,50620000,-0.005263122
1980-01-23,111.510002,113.93,110.93,113.440002,113.440002,50730000,0.017307864
1980-01-24,113.440002,115.269997,112.949997,113.699997,113.699997,59070000,0.002291916
1980-01-25,113.699997,114.449997,112.360001,113.610001,113.610001,47100000,-0.000791522
1980-01-28,113.610001,115.650002,112.93,114.849998,114.849998,53620000,0.010914506
1980-01-29,114.849998,115.769997,113.029999,114.07,114.07,55480000,-0.00679145
1980-01-30,114.07,115.849998,113.370003,115.199997,115.199997,51170000,0.009906172
1980-01-31,115.199997,117.169998,113.779999,114.160004,114.160004,65900000,-0.009027717
1980-02-01,114.160004,115.540001,113.129997,115.120003,115.120003,46610000,0.008409241
1980-02-04,115.120003,116.010002,113.830002,114.370003,114.370003,43070000,-0.006514941
